company_name,bidding_day,bidding_date,total_multiple,qib_multiple,nii_multiple,retail_multiple,source
SOUTH WEST PINNACLE EXPLORATION LTD.,1,"Feb 6, 2018",0.12,0.3,0.37,0.36,user_scraped
SOUTH WEST PINNACLE EXPLORATION LTD.,2,"Feb 7, 2018",1.86,0.3,1.9,1.68,user_scraped
SOUTH WEST PINNACLE EXPLORATION LTD.,3,"Feb 8, 2018",2.82,18.04,144.16,11.7,user_scraped
SRIVARI SPICES & FOODS LTD.,1,"August 7, 2023",10.37,1.23,6.33,17.33,user_scraped
SRIVARI SPICES & FOODS LTD.,2,"August 8, 2023",42.03,1.26,28.77,71.0,user_scraped
SRIVARI SPICES & FOODS LTD.,3,"August 9, 2023",450.03,79.1,786.11,517.95,user_scraped
SUPREME POWER EQUIPMENT LTD.,1,"December 21, 2023",7.88,1.01,3.5,13.68,user_scraped
SUPREME POWER EQUIPMENT LTD.,2,"December 22, 2023",22.78,1.05,14.75,38.64,user_scraped
SUPREME POWER EQUIPMENT LTD.,3,"December 26, 2023",262.6,88.98,489.1,264.48,user_scraped
SYSTANGO TECHNOLOGIES LTD.,1,"Mar 2, 2023",1.28,0.0,0.96,3.24,user_scraped
SYSTANGO TECHNOLOGIES LTD.,2,"Mar 3, 2023",5.01,0.41,3.75,12.1,user_scraped
SYSTANGO TECHNOLOGIES LTD.,3,"Mar 6, 2023",64.99,14.1,230.36,66.59,user_scraped
T A C INFOSEC LTD.,1,"March 27, 2024",10.34,2.64,6.06,16.57,user_scraped
T A C INFOSEC LTD.,2,"March 28, 2024",24.86,2.67,14.08,42.17,user_scraped
T A C INFOSEC LTD.,3,"April 1, 2024",70.12,2.67,52.13,116.37,user_scraped
T A C INFOSEC LTD.,4,"April 2, 2024",422.03,141.29,768.89,433.8,user_scraped
TECHERA ENGINEERING (INDIA) LTD.,1,"September 25, 2024",2.1,0.0,2.41,3.13,user_scraped
TECHERA ENGINEERING (INDIA) LTD.,2,"September 26, 2024",8.34,0.27,6.92,13.56,user_scraped
TECHERA ENGINEERING (INDIA) LTD.,3,"September 27, 2024",69.8,31.22,128.88,66.52,user_scraped
THEJO ENGINEERING LTD.,1,"Sep 4, 2012",0.54,1.0,0.23,0.04,user_scraped
THEJO ENGINEERING LTD.,2,"Sep 5, 2012",0.58,1.0,0.28,0.13,user_scraped
THEJO ENGINEERING LTD.,3,"Sep 6, 2012",1.53,1.0,0.91,2.61,user_scraped
TRANSTEEL SEATING TECHNOLOGIES LTD.,1,"October 30, 2023",1.72,0.0,1.76,2.74,user_scraped
TRANSTEEL SEATING TECHNOLOGIES LTD.,2,"October 31, 2023",4.65,0.32,2.91,7.99,user_scraped
TRANSTEEL SEATING TECHNOLOGIES LTD.,3,"November 1, 2023",49.21,12.15,122.88,39.82,user_scraped
TRIDENT TECHLABS LTD.,1,"December 21, 2023",38.53,1.05,17.05,67.2,user_scraped
